Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:52:45,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E8F90>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2004
2026-05-12 06:52:45,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E7910>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2004
2026-05-12 06:52:45,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2002
2026-05-12 06:52:52,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE226C10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:52,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE228D90>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:52,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2006
nectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE17E950>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2005
2026-05-12 06:52:52,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE225E90>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:52,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE227990>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2005
2026-05-12 06:52:52,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2005
2026-05-12 06:52:59,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1AB190>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:59,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE2293D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:59,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2007
2026-05-12 06:52:59,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2008
2026-05-12 06:52:59,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE228790>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:59,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E7410>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:59,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE249410>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:53:06,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1EA650>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-12 06:53:06,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE24A7D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:53:06,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2007
2026-05-12 06:53:06,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCCFDF9D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2005
2026-05-12 06:53:06,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE24B050>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:53:06,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2004
2026-05-12 06:53:06,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE22A250>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:53:13,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2016
2026-05-12 06:53:13,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE245110>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2015
2026-05-12 06:53:13,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1DC5D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2015
2026-05-12 06:53:13,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2015
2026-05-12 06:53:13,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE2447D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2016
2026-05-12 06:53:13,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE249310>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2016
2026-05-12 06:53:13,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCC6A2CD0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2015
2026-05-12 06:53:20,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2011
2026-05-12 06:53:20,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE244910>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2011
2026-05-12 06:53:20,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2012
2026-05-12 06:53:20,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1FD450>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2012
2026-05-12 06:53:20,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE23F650>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2012
2026-05-12 06:53:20,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1AAE10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2012
2026-05-12 06:53:20,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE246050>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2012
2026-05-12 06:53:27,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2010
2026-05-12 06:53:27,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1E42D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2009
2026-05-12 06:53:27,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E4650>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2010
2026-05-12 06:53:27,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E6C90>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2009
2026-05-12 06:53:27,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1E7990>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2010
2026-05-12 06:53:27,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E5990>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2009
2026-05-12 06:53:27,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2008
2026-05-12 06:53:34,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2014
2026-05-12 06:53:34,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1DE990>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2014
